,date, pm25, pm10, o3, no2, so2, co,AQI,AQI_bucket
95,2019-06-23,68.0,110.10087719298245,19.0,12.0,3.0,10.0,200.0,Moderately Polluted
96,2019-06-24,107.0,110.10087719298245,23.0,19.0,2.0,12.0,255.6206896551724,Poor
97,2019-06-25,105.0,110.10087719298245,24.0,25.0,2.0,13.0,248.79310344827587,Poor
98,2019-06-26,99.0,110.10087719298245,38.0,31.0,7.0,17.0,300.0,Poor
99,2019-06-27,126.0,110.10087719298245,49.0,31.0,5.0,15.0,304.83720930232556,Very Poor
100,2019-06-28,116.0,110.10087719298245,39.0,32.0,9.0,16.0,286.34482758620686,Poor
101,2019-06-29,127.0,110.10087719298245,37.0,19.0,4.0,9.0,305.6046511627907,Very Poor
102,2019-06-30,127.0,110.10087719298245,27.0,18.0,2.0,12.0,305.6046511627907,Very Poor
103,2019-07-01,146.0,110.10087719298245,13.0,17.0,2.0,11.0,320.1860465116279,Very Poor
104,2019-07-02,112.0,110.10087719298245,11.0,12.0,2.0,9.0,272.6896551724138,Poor
105,2019-07-03,69.0,110.10087719298245,14.0,10.0,1.0,7.0,162.40506329113924,Moderately Polluted
106,2019-07-04,94.0,110.10087719298245,25.0,16.0,2.0,12.0,229.28571428571428,Poor
107,2019-07-05,86.0,110.10087719298245,17.0,17.0,2.0,8.0,186.3448275862069,Moderately Polluted
108,2019-07-06,71.0,110.10087719298245,21.0,20.0,2.0,10.0,200.0,Moderately Polluted
109,2019-07-07,92.0,110.10087719298245,13.0,25.0,3.0,21.0,324.29411764705884,Very Poor
110,2019-07-08,70.0,110.10087719298245,12.0,19.0,2.0,11.0,215.14285714285714,Poor
111,2019-07-09,70.0,110.10087719298245,7.0,15.0,3.0,11.0,215.14285714285714,Poor
112,2019-07-10,75.0,110.10087719298245,16.0,12.0,2.0,14.0,257.57142857142856,Poor
113,2019-07-11,74.0,110.10087719298245,7.0,20.0,2.0,17.0,300.0,Poor
114,2019-07-12,114.0,110.10087719298245,7.0,17.0,5.0,10.0,279.51724137931035,Poor
115,2019-07-13,119.0,110.10087719298245,14.0,15.0,9.0,8.0,296.58620689655174,Poor
116,2019-07-14,107.0,110.10087719298245,18.0,17.0,7.0,9.0,255.6206896551724,Poor
117,2019-07-15,102.0,110.10087719298245,23.0,16.0,3.0,8.0,238.55172413793105,Poor
118,2019-07-16,75.0,110.10087719298245,20.0,16.0,3.0,8.0,174.9367088607595,Moderately Polluted
119,2019-07-17,84.0,110.10087719298245,24.0,17.0,3.0,9.0,187.46835443037975,Moderately Polluted
120,2019-07-18,92.0,110.10087719298245,15.0,22.0,3.0,13.0,243.42857142857144,Poor
121,2019-07-19,114.0,110.10087719298245,15.0,16.0,2.0,12.0,279.51724137931035,Poor
122,2019-07-20,106.0,110.10087719298245,10.0,11.0,2.0,11.0,252.20689655172413,Poor
123,2019-07-21,96.0,110.10087719298245,29.0,16.0,3.0,10.0,218.0689655172414,Poor
124,2019-07-22,85.0,110.10087719298245,31.0,17.0,3.0,10.0,200.0,Moderately Polluted
125,2019-07-23,111.0,110.10087719298245,13.0,11.0,2.0,9.0,269.2758620689655,Poor
126,2019-07-24,79.0,110.10087719298245,16.0,12.0,2.0,11.0,215.14285714285714,Poor
127,2019-07-25,51.0,110.10087719298245,20.0,13.0,2.0,12.0,229.28571428571428,Poor
128,2019-07-26,68.0,110.10087719298245,16.0,11.0,3.0,11.0,215.14285714285714,Poor
129,2019-07-27,69.0,110.10087719298245,15.0,7.0,2.0,8.0,174.9367088607595,Moderately Polluted
130,2019-07-28,53.0,110.10087719298245,19.0,10.0,3.0,8.0,174.9367088607595,Moderately Polluted
131,2019-07-29,56.0,110.10087719298245,18.0,10.0,2.0,12.0,229.28571428571428,Poor
132,2019-07-30,60.0,110.10087719298245,19.0,12.0,2.0,11.0,215.14285714285714,Poor
133,2019-07-31,83.0,110.10087719298245,19.0,12.0,2.0,11.0,215.14285714285714,Poor
134,2019-08-01,89.0,110.10087719298245,23.0,11.0,2.0,9.0,196.58620689655172,Moderately Polluted
135,2019-08-02,89.0,110.10087719298245,24.0,13.0,2.0,13.0,243.42857142857144,Poor
136,2019-08-03,97.0,110.10087719298245,29.0,14.0,2.0,8.0,221.48275862068965,Poor
137,2019-08-04,97.0,110.10087719298245,20.0,17.0,3.0,14.0,257.57142857142856,Poor
138,2019-08-05,102.0,110.10087719298245,19.0,12.0,3.0,11.0,238.55172413793105,Poor
139,2019-08-06,76.0,110.10087719298245,20.0,10.0,2.0,9.0,187.46835443037975,Moderately Polluted
140,2019-08-07,32.0,110.10087719298245,16.0,8.0,2.0,7.0,162.40506329113924,Moderately Polluted
141,2019-08-08,39.0,110.10087719298245,16.0,7.0,2.0,10.0,200.0,Moderately Polluted
142,2019-08-09,46.0,110.10087719298245,19.0,10.0,2.0,11.0,215.14285714285714,Poor
143,2019-08-10,51.0,110.10087719298245,20.0,15.0,4.0,12.0,229.28571428571428,Poor
144,2019-08-11,78.0,110.10087719298245,21.0,13.0,10.0,9.0,187.46835443037975,Moderately Polluted
145,2019-08-12,60.0,110.10087719298245,12.0,12.0,2.0,11.0,215.14285714285714,Poor
146,2019-08-13,74.0,110.10087719298245,13.0,8.0,2.0,12.0,229.28571428571428,Poor
147,2019-08-14,41.0,110.10087719298245,16.0,7.0,3.0,9.0,187.46835443037975,Moderately Polluted
148,2019-08-15,61.0,110.10087719298245,13.0,7.0,2.0,8.0,174.9367088607595,Moderately Polluted
149,2019-08-16,36.0,110.10087719298245,14.0,9.0,2.0,10.0,200.0,Moderately Polluted
150,2019-08-17,27.0,110.10087719298245,16.0,9.0,9.0,9.0,187.46835443037975,Moderately Polluted
151,2019-08-18,59.0,110.10087719298245,10.0,10.0,2.0,12.0,229.28571428571428,Poor
152,2019-08-19,59.0,110.10087719298245,13.0,12.0,2.0,14.0,257.57142857142856,Poor
153,2019-08-20,52.0,110.10087719298245,11.0,12.0,5.0,16.0,285.8571428571429,Poor
154,2019-08-21,51.0,110.10087719298245,17.0,9.0,2.0,9.0,187.46835443037975,Moderately Polluted
155,2019-08-22,54.0,110.10087719298245,5.0,13.0,2.0,24.0,341.7647058823529,Very Poor
156,2019-08-23,66.0,110.10087719298245,15.0,12.0,6.0,11.476315789473684,221.87932330827067,Poor
157,2019-08-24,81.0,110.10087719298245,14.0,8.0,3.0,11.476315789473684,221.87932330827067,Poor
158,2019-08-25,62.0,110.10087719298245,15.0,10.0,2.0,11.476315789473684,221.87932330827067,Poor
159,2019-08-26,62.0,110.10087719298245,16.0,13.0,3.0,11.476315789473684,221.87932330827067,Poor
160,2019-08-27,95.0,110.10087719298245,18.0,10.0,3.0,11.476315789473684,221.87932330827067,Poor
161,2019-08-28,88.0,110.10087719298245,15.0,8.0,5.0,11.476315789473684,221.87932330827067,Poor
162,2019-08-29,94.0,110.10087719298245,22.73508137432188,27.716446124763706,8.597826086956522,11.476315789473684,221.87932330827067,Poor
163,2019-09-05,148.57956600361663,110.10087719298245,15.0,15.0,3.0,11.476315789473684,322.165713444636,Very Poor
164,2019-09-06,84.0,110.10087719298245,13.0,15.0,3.0,11.476315789473684,221.87932330827067,Poor
165,2019-09-07,89.0,110.10087719298245,13.0,11.0,2.0,11.476315789473684,221.87932330827067,Poor
166,2019-09-08,78.0,110.10087719298245,15.0,15.0,3.0,11.476315789473684,221.87932330827067,Poor
167,2019-09-09,74.0,110.10087719298245,17.0,16.0,3.0,11.476315789473684,221.87932330827067,Poor
168,2019-09-10,107.0,110.10087719298245,17.0,17.0,4.0,11.476315789473684,255.6206896551724,Poor
169,2019-09-11,119.0,110.10087719298245,13.0,13.0,3.0,11.476315789473684,296.58620689655174,Poor
170,2019-09-12,92.0,110.10087719298245,8.0,10.0,3.0,11.476315789473684,221.87932330827067,Poor
171,2019-09-13,45.0,110.10087719298245,12.0,12.0,3.0,11.476315789473684,221.87932330827067,Poor
172,2019-09-14,69.0,110.10087719298245,10.0,12.0,3.0,11.476315789473684,221.87932330827067,Poor
173,2019-09-15,90.0,110.10087719298245,11.0,17.0,3.0,11.476315789473684,221.87932330827067,Poor
174,2019-09-16,75.0,110.10087719298245,15.0,12.0,2.0,11.476315789473684,221.87932330827067,Poor
175,2019-09-17,82.0,110.10087719298245,10.0,10.0,2.0,11.476315789473684,221.87932330827067,Poor
176,2019-09-18,56.0,110.10087719298245,10.0,10.0,3.0,11.476315789473684,221.87932330827067,Poor
177,2019-09-19,55.0,110.10087719298245,14.0,15.0,2.0,11.476315789473684,221.87932330827067,Poor
178,2019-09-20,99.0,110.10087719298245,13.0,18.0,3.0,11.476315789473684,228.31034482758622,Poor
179,2019-09-21,146.0,110.10087719298245,11.0,12.0,3.0,11.476315789473684,320.1860465116279,Very Poor
180,2019-09-22,65.0,110.10087719298245,7.0,16.0,3.0,11.476315789473684,221.87932330827067,Poor
181,2019-09-23,92.0,110.10087719298245,15.0,14.0,3.0,11.476315789473684,221.87932330827067,Poor
182,2019-09-24,86.0,110.10087719298245,11.0,10.0,2.0,11.476315789473684,221.87932330827067,Poor
183,2019-09-25,81.0,110.10087719298245,8.0,9.0,3.0,11.476315789473684,221.87932330827067,Poor
184,2019-09-26,47.0,110.10087719298245,6.0,11.0,2.0,11.476315789473684,221.87932330827067,Poor
185,2019-09-27,51.0,110.10087719298245,8.0,9.0,2.0,11.476315789473684,221.87932330827067,Poor
186,2019-09-28,44.0,110.10087719298245,8.0,9.0,2.0,11.476315789473684,221.87932330827067,Poor
187,2019-09-29,113.0,110.10087719298245,12.0,10.0,2.0,11.476315789473684,276.1034482758621,Poor
188,2019-09-30,99.0,110.10087719298245,14.0,13.0,3.0,11.476315789473684,228.31034482758622,Poor
189,2019-10-01,99.0,110.10087719298245,13.0,14.0,2.0,11.476315789473684,228.31034482758622,Poor
190,2019-10-02,77.0,110.10087719298245,12.0,17.0,4.0,11.476315789473684,221.87932330827067,Poor
191,2019-10-03,102.0,110.10087719298245,20.0,28.0,7.0,11.476315789473684,238.55172413793105,Poor
192,2019-10-04,145.0,110.10087719298245,23.0,24.0,4.0,11.476315789473684,319.4186046511628,Very Poor
193,2019-10-05,177.0,110.10087719298245,30.0,25.0,6.0,11.476315789473684,343.9767441860465,Very Poor
194,2019-10-06,124.0,110.10087719298245,27.0,30.0,8.0,11.476315789473684,303.30232558139534,Very Poor
195,2019-10-07,157.0,110.10087719298245,25.0,23.0,7.0,11.476315789473684,328.62790697674416,Very Poor
196,2019-10-08,143.0,110.10087719298245,26.0,33.0,7.0,11.476315789473684,317.8837209302326,Very Poor
197,2019-10-09,151.0,110.10087719298245,26.0,37.0,11.0,11.476315789473684,324.0232558139535,Very Poor
198,2019-10-10,155.0,110.10087719298245,27.0,35.0,14.0,11.476315789473684,327.09302325581393,Very Poor
199,2019-10-11,192.0,110.10087719298245,24.0,34.0,10.0,11.476315789473684,355.48837209302326,Very Poor
200,2019-10-12,170.0,110.10087719298245,33.0,43.0,19.0,11.476315789473684,338.6046511627907,Very Poor
201,2019-10-13,177.0,110.10087719298245,34.0,37.0,11.0,11.476315789473684,343.9767441860465,Very Poor
202,2019-10-14,178.0,110.10087719298245,32.0,31.0,5.0,11.476315789473684,344.74418604651163,Very Poor
203,2019-10-15,167.0,110.10087719298245,31.0,21.0,4.0,11.476315789473684,336.30232558139534,Very Poor
204,2019-10-16,183.0,110.10087719298245,25.0,29.0,4.0,11.476315789473684,348.5813953488372,Very Poor
205,2019-10-17,182.0,110.10087719298245,29.0,26.0,6.0,11.476315789473684,347.8139534883721,Very Poor
206,2019-10-18,163.0,110.10087719298245,26.0,29.0,5.0,11.476315789473684,333.2325581395349,Very Poor
207,2019-10-19,171.0,110.10087719298245,25.0,22.0,8.0,11.476315789473684,339.37209302325584,Very Poor
208,2019-10-20,183.0,110.10087719298245,31.0,25.0,16.0,11.476315789473684,348.5813953488372,Very Poor
209,2019-10-21,188.0,110.10087719298245,31.0,37.0,19.0,11.476315789473684,352.4186046511628,Very Poor
210,2019-10-22,188.0,110.10087719298245,34.0,47.0,20.0,11.476315789473684,352.4186046511628,Very Poor
211,2019-10-23,196.0,110.10087719298245,31.0,37.0,6.0,11.476315789473684,358.5581395348837,Very Poor
212,2019-10-24,177.0,110.10087719298245,29.0,17.0,4.0,11.476315789473684,343.9767441860465,Very Poor
213,2019-10-25,174.0,110.10087719298245,22.73508137432188,27.716446124763706,8.597826086956522,11.476315789473684,341.6744186046512,Very Poor
214,2019-10-28,148.57956600361663,110.10087719298245,32.0,38.0,16.0,11.476315789473684,322.165713444636,Very Poor
215,2019-10-29,241.0,110.10087719298245,6.0,54.0,13.0,11.476315789473684,393.09302325581393,Very Poor
216,2019-10-30,343.0,110.10087719298245,25.0,49.0,13.0,11.476315789473684,499.89354838709676,Severe
217,2019-10-31,357.0,110.10087719298245,29.0,56.0,28.0,11.476315789473684,499.907476635514,Severe
218,2019-11-01,297.0,110.10087719298245,32.0,57.0,17.0,11.476315789473684,499.7893617021276,Severe
219,2019-11-02,258.0,110.10087719298245,23.0,32.0,15.0,11.476315789473684,498.7624999999997,Severe
